Unnamed: 0,Unnamed: 1
,กาฬสินธุ์  แขวงทางหลวง  วัสดุชำรุด  จำนวน  2  รายการ
,นครศรีธรรมราช  สนง.บังคับคดี  ทรัพย์  จำนวน  3  รายการ
,บรีรัมย์  แขวงทางหลวง  โคมไฟ  จำนวน  2  รายการ
,แม่ฮ่องสอน  สนง.พัฒนาสังคมและความมั่นคงของมนุษย์   ยานพาหนะ  จำนวน  1  คัน
18 มี.ค. 2569,"กทม.  สนข.ดอนเมือง  พัสดุชำรุด  จำนวน  1,501  รายการ"
,กทม.  สนง.บังคับคดี  รถยนต์  จำนวน  1  รายการ(700-5295)
,ขอนแก่น  สนง.เกษตรและสหกรณ์  พัสดุชำรุด  จำนวน  109  รายการ
,ฉะเชิงเทรา  สนง.บังคับคดี  หุ้นตามสำเนาบัญชีผู้ถือหุ้น
,นครพนม  แขวงทางหลวง  ยานพาหนะ  จำนวน  2  รายการ
,นครศรีธรรมราช  โครงการชลประทาน  ยานพาหนะ  จำนวน  1  รายการ
,เพชรบูรณ์  สนง.บังคับคดี  ทรัพย์  จำนวน  5  รายการ
,ระนอง  แขวงทางหลวง  พัสดุชำรุด  จำนวน  6  รายการ
,ระยอง  ศาลปกครอง  พัสดุ  จำนวน  275  รายการ
,สมุทรปราการ  สนง.ที่ดิน  พัสดุชำรุด  จำนวน  82  รายการ
,"อุตรดิตถ์  แขวงทางหลวงที่  1  วัสดุกากยาง  จำนวน  6,751.21  ลบ.ม."
19 มี.ค. 2569,กทม.  สนข.ดุสิต  พัสดุชำรุด  จำนวน  577  รายการ
